v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    25.900000                       0.094344          0.000025
    26.000000                       0.101079          0.000026
    26.100000                       0.108625          0.000028
    26.200000                       0.117119          0.000031
    26.300000                       0.126726          0.000033
    26.400000                       0.137648          0.000036
    26.500000                       0.150137          0.000039
    26.600000                       0.164505          0.000043
    26.700000                       0.181148          0.000047
    26.800000                       0.200570          0.000052
    26.900000                       0.223423          0.000058
    27.000000                       0.250556          0.000066
    27.100000                       0.283101          0.000074
    27.200000                       0.322581          0.000084
    27.300000                       0.371091          0.000097
    27.400000                       0.431562          0.000113
    27.500000                       0.508197          0.000133
    27.600000                       0.607173          0.000159
    27.700000                       0.737821          0.000193
    27.800000                       0.914694          0.000239
    27.900000                       1.161271          0.000304
    28.000000                       1.516801          0.000397
    28.100000                       2.049010          0.000536
    28.200000                       2.876342          0.000752
    28.300000                       4.195132          0.001097
    28.400000                       6.236894          0.001631
    28.500000                       8.796550          0.002301
    28.600000                      10.154934          0.002656
    28.700000                       8.715731          0.002280
    28.800000                       6.156053          0.001610
    28.900000                       4.140426          0.001083
    29.000000                       2.842181          0.000743
    29.100000                       2.027485          0.000530
    29.200000                       1.502804          0.000393
    29.300000                       1.151866          0.000301
    29.400000                       0.908197          0.000238
    29.500000                       0.733240          0.000192
    29.600000                       0.603902          0.000158
    29.700000                       0.505854          0.000132
    29.800000                       0.429896          0.000112
    29.900000                       0.369935          0.000097
    30.000000                       0.321820          0.000084
    30.100000                       0.282652          0.000074
    30.200000                       0.250361          0.000065
    30.300000                       0.223437          0.000058
    30.400000                       0.200762          0.000053
    30.500000                       0.181493          0.000047
    30.600000                       0.164983          0.000043
    30.700000                       0.150734          0.000039
    30.800000                       0.138353          0.000036
    30.900000                       0.127529          0.000033
    31.000000                       0.118013          0.000031
    31.100000                       0.109603          0.000029
    31.200000                       0.102136          0.000027
    31.300000                       0.095477          0.000025
    31.400000                       0.089513          0.000023
    31.500000                       0.084153          0.000022
    31.600000                       0.079317          0.000021
    31.700000                       0.074941          0.000020
    31.800000                       0.070967          0.000019
    31.900000                       0.067350          0.000018
    32.000000                       0.064047          0.000017
    32.100000                       0.061024          0.000016
    32.200000                       0.058251          0.000015
    32.300000                       0.055700          0.000015
    32.400000                       0.053350          0.000014
    32.500000                       0.051179          0.000013
    32.600000                       0.049171          0.000013
    32.700000                       0.047310          0.000012
    32.800000                       0.045581          0.000012
    32.900000                       0.043974          0.000012
    33.000000                       0.042477          0.000011
    33.100000                       0.041081          0.000011
    33.200000                       0.039777          0.000010
    33.300000                       0.038557          0.000010
    33.400000                       0.037414          0.000010
    33.500000                       0.036343          0.000010
    33.600000                       0.035337          0.000009
    33.700000                       0.034392          0.000009
    33.800000                       0.033503          0.000009
    33.900000                       0.032666          0.000009
    34.000000                       0.031876          0.000008
    34.100000                       0.031132          0.000008
    34.200000                       0.030429          0.000008
    34.300000                       0.029764          0.000008
    34.400000                       0.029136          0.000008
    34.500000                       0.028542          0.000007
    34.600000                       0.027978          0.000007
    34.700000                       0.027445          0.000007
    34.800000                       0.026938          0.000007
    34.900000                       0.026458          0.000007
    35.000000                       0.026002          0.000007
    35.100000                       0.025569          0.000007
    35.200000                       0.025157          0.000007
    35.300000                       0.024766          0.000006
    35.400000                       0.024393          0.000006
    35.500000                       0.024039          0.000006
    35.600000                       0.023701          0.000006
    35.700000                       0.023380          0.000006
    35.800000                       0.023074          0.000006
    35.900000                       0.022782          0.000006
    36.000000                       0.022504          0.000006
    36.100000                       0.022239          0.000006
    36.200000                       0.021986          0.000006
    36.300000                       0.021745          0.000006
    36.400000                       0.021515          0.000006
    36.500000                       0.021295          0.000006
    36.600000                       0.021086          0.000006
    36.700000                       0.020886          0.000005
    36.800000                       0.020695          0.000005
    36.900000                       0.020513          0.000005
    37.000000                       0.020339          0.000005
    37.100000                       0.020174          0.000005
    37.200000                       0.020015          0.000005
    37.300000                       0.019865          0.000005
    37.400000                       0.019721          0.000005
    37.500000                       0.019584          0.000005
    37.600000                       0.019453          0.000005
    37.700000                       0.019328          0.000005
    37.800000                       0.019210          0.000005
    37.900000                       0.019096          0.000005
    38.000000                       0.018989          0.000005
    38.100000                       0.018887          0.000005
    38.200000                       0.018789          0.000005
    38.300000                       0.018697          0.000005
    38.400000                       0.018609          0.000005
    38.500000                       0.018526          0.000005
    38.600000                       0.018447          0.000005
    38.700000                       0.018373          0.000005
    38.800000                       0.018302          0.000005
    38.900000                       0.018236          0.000005
    39.000000                       0.018173          0.000005
    39.100000                       0.018114          0.000005
    39.200000                       0.018058          0.000005
    39.300000                       0.018006          0.000005
    39.400000                       0.017958          0.000005
    39.500000                       0.017912          0.000005
    39.600000                       0.017870          0.000005
    39.700000                       0.017831          0.000005
    39.800000                       0.017795          0.000005
    39.900000                       0.017762          0.000005
    40.000000                       0.017731          0.000005
    40.100000                       0.017703          0.000005
    40.200000                       0.017678          0.000005
    40.300000                       0.017656          0.000005
    40.400000                       0.017636          0.000005
    40.500000                       0.017619          0.000005
    40.600000                       0.017604          0.000005
    40.700000                       0.017592          0.000005
    40.800000                       0.017581          0.000005
    40.900000                       0.017573          0.000005
    41.000000                       0.017568          0.000005
    41.100000                       0.017564          0.000005
    41.200000                       0.017563          0.000005
    41.300000                       0.017564          0.000005
    41.400000                       0.017567          0.000005
    41.500000                       0.017572          0.000005
    41.600000                       0.017578          0.000005
    41.700000                       0.017587          0.000005
    41.800000                       0.017598          0.000005
    41.900000                       0.017611          0.000005
    42.000000                       0.017625          0.000005
    42.100000                       0.017642          0.000005
    42.200000                       0.017660          0.000005
    42.300000                       0.017680          0.000005
    42.400000                       0.017702          0.000005
    42.500000                       0.017726          0.000005
    42.600000                       0.017751          0.000005
    42.700000                       0.017778          0.000005
    42.800000                       0.017807          0.000005
    42.900000                       0.017837          0.000005
    43.000000                       0.017870          0.000005
    43.100000                       0.017903          0.000005
    43.200000                       0.017939          0.000005
    43.300000                       0.017976          0.000005
    43.400000                       0.018015          0.000005
    43.500000                       0.018055          0.000005
    43.600000                       0.018097          0.000005
    43.700000                       0.018141          0.000005
    43.800000                       0.018186          0.000005
    43.900000                       0.018233          0.000005
    44.000000                       0.018282          0.000005
    44.100000                       0.018332          0.000005
    44.200000                       0.018383          0.000005
    44.300000                       0.018437          0.000005
    44.400000                       0.018491          0.000005
    44.500000                       0.018548          0.000005
    44.600000                       0.018606          0.000005
    44.700000                       0.018666          0.000005
    44.800000                       0.018727          0.000005
    44.900000                       0.018790          0.000005
    45.000000                       0.018854          0.000005
    45.100000                       0.018920          0.000005
    45.200000                       0.018988          0.000005
    45.300000                       0.019057          0.000005
    45.400000                       0.019128          0.000005
    45.500000                       0.019201          0.000005
    45.600000                       0.019275          0.000005
    45.700000                       0.019351          0.000005
    45.800000                       0.019429          0.000005
    45.900000                       0.019508          0.000005
    46.000000                       0.019589          0.000005
    46.100000                       0.019672          0.000005
    46.200000                       0.019757          0.000005
    46.300000                       0.019843          0.000005
    46.400000                       0.019931          0.000005
    46.500000                       0.020021          0.000005
    46.600000                       0.020112          0.000005
    46.700000                       0.020206          0.000005
    46.800000                       0.020301          0.000005
    46.900000                       0.020398          0.000005
    47.000000                       0.020497          0.000005
    47.100000                       0.020598          0.000005
    47.200000                       0.020701          0.000005
    47.300000                       0.020806          0.000005
    47.400000                       0.020913          0.000005
    47.500000                       0.021022          0.000005
    47.600000                       0.021133          0.000006
    47.700000                       0.021246          0.000006
    47.800000                       0.021361          0.000006
    47.900000                       0.021478          0.000006
    48.000000                       0.021597          0.000006
    48.100000                       0.021719          0.000006
    48.200000                       0.021843          0.000006
    48.300000                       0.021969          0.000006
    48.400000                       0.022097          0.000006
    48.500000                       0.022228          0.000006
    48.600000                       0.022361          0.000006
    48.700000                       0.022496          0.000006
    48.800000                       0.022634          0.000006
    48.900000                       0.022775          0.000006
    49.000000                       0.022918          0.000006
    49.100000                       0.023064          0.000006
    49.200000                       0.023212          0.000006
    49.300000                       0.023363          0.000006
    49.400000                       0.023517          0.000006
    49.500000                       0.023674          0.000006
    49.600000                       0.023833          0.000006
    49.700000                       0.023996          0.000006
    49.800000                       0.024161          0.000006
    49.900000                       0.024330          0.000006
    50.000000                       0.024501          0.000006
    50.100000                       0.024676          0.000006
    50.200000                       0.024854          0.000007
    50.300000                       0.025036          0.000007
    50.400000                       0.025221          0.000007
    50.500000                       0.025409          0.000007
    50.600000                       0.025601          0.000007
    50.700000                       0.025796          0.000007
    50.800000                       0.025996          0.000007
    50.900000                       0.026199          0.000007
    51.000000                       0.026406          0.000007
    51.100000                       0.026617          0.000007
    51.200000                       0.026832          0.000007
    51.300000                       0.027051          0.000007
    51.400000                       0.027275          0.000007
    51.500000                       0.027503          0.000007
    51.600000                       0.027735          0.000007
    51.700000                       0.027972          0.000007
    51.800000                       0.028214          0.000007
    51.900000                       0.028461          0.000007
    52.000000                       0.028713          0.000008
    52.100000                       0.028969          0.000008
    52.200000                       0.029232          0.000008
    52.300000                       0.029499          0.000008
    52.400000                       0.029772          0.000008
    52.500000                       0.030051          0.000008
    52.600000                       0.030336          0.000008
    52.700000                       0.030627          0.000008
    52.800000                       0.030924          0.000008
    52.900000                       0.031227          0.000008
    53.000000                       0.031537          0.000008
    53.100000                       0.031854          0.000008
    53.200000                       0.032178          0.000008
    53.300000                       0.032509          0.000009
    53.400000                       0.032847          0.000009
    53.500000                       0.033193          0.000009
    53.600000                       0.033547          0.000009
    53.700000                       0.033909          0.000009
    53.800000                       0.034279          0.000009
    53.900000                       0.034658          0.000009
    54.000000                       0.035046          0.000009
    54.100000                       0.035443          0.000009
    54.200000                       0.035849          0.000009
    54.300000                       0.036266          0.000009
