theta,int
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.15402,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.21340,0.00000
24.44110,0.00000
24.44110,0.00000
24.44110,0.00000
24.44110,0.00000
24.44110,0.00000
24.44110,0.00000
24.44110,0.00000
24.44110,0.00000
24.50122,0.00000
24.50122,0.00000
24.50122,0.00000
24.50122,0.00000
24.50122,0.00000
24.50122,0.00000
24.50122,0.00000
24.50122,0.00000
24.54610,0.00000
24.54610,0.00000
24.60647,0.00000
24.60647,0.00000
24.84359,67.41493
24.84359,67.41493
24.84359,67.41493
24.84359,67.41493
24.84359,67.41493
24.84359,67.41493
24.84359,67.41493
24.84359,67.41493
24.88786,100.00000
24.88786,100.00000
24.88786,100.00000
24.88786,100.00000
24.90472,33.52333
24.90472,33.52333
24.90472,33.52333
24.90472,33.52333
24.90472,33.52333
24.90472,33.52333
24.90472,33.52333
24.90472,33.52333
24.94911,49.72787
24.94911,49.72787
24.94911,49.72787
24.94911,49.72787
25.13778,0.00000
25.13778,0.00000
25.13778,0.00000
25.13778,0.00000
25.13778,0.00000
25.13778,0.00000
25.13778,0.00000
25.13778,0.00000
25.19966,0.00000
25.19966,0.00000
25.19966,0.00000
25.19966,0.00000
25.19966,0.00000
25.19966,0.00000
25.19966,0.00000
25.19966,0.00000
25.87401,0.80255
25.87401,0.80255
25.87401,0.80255
25.87401,0.80255
25.87401,0.80255
25.87401,0.80255
25.87401,0.80255
25.87401,0.80255
25.93776,0.39901
25.93776,0.39901
25.93776,0.39901
25.93776,0.39901
25.93776,0.39901
25.93776,0.39901
25.93776,0.39901
25.93776,0.39901
26.10112,0.00000
26.10112,0.00000
26.10112,0.00000
26.10112,0.00000
26.10112,0.00000
26.10112,0.00000
26.10112,0.00000
26.10112,0.00000
26.16545,0.00000
26.16545,0.00000
26.16545,0.00000
26.16545,0.00000
26.16545,0.00000
26.16545,0.00000
26.16545,0.00000
26.16545,0.00000
26.38221,0.00000
26.38221,0.00000
26.38221,0.00000
26.38221,0.00000
26.38221,0.00000
