Angle,PSD
17.0818,25
17.0971,21
17.1124,23
17.1278,20
17.1431,22
17.1584,15
17.1738,24
17.1891,16
17.2044,24
17.2198,32
17.2351,21
17.2504,21
17.2658,20
17.2811,20
17.2964,26
17.3118,21
17.3271,19
17.3424,22
17.3578,30
17.3731,19
17.3884,19
17.4038,20
17.4191,17
17.4344,20
17.4497,23
17.4651,23
17.4804,21
17.4957,25
17.5111,18
17.5264,23
17.5417,26
17.5571,22
17.5724,21
17.5877,23
17.6031,26
17.6184,14
17.6337,26
17.6491,15
17.6644,25
17.6797,29
17.6951,21
17.7104,27
17.7257,30
17.7411,45
17.7564,44
17.7717,26
17.7871,36
17.8024,35
17.8177,49
17.8331,36
17.8484,32
17.8637,36
17.879,31
17.8944,28
17.9097,28
17.925,23
17.9404,21
17.9557,25
17.971,25
17.9864,20
18.0017,32
18.017,27
18.0324,28
18.0477,25
18.063,22
18.0784,23
18.0937,24
18.109,22
18.1244,31
18.1397,23
18.155,30
18.1704,29
18.1857,22
18.201,26
18.2164,18
18.2317,16
18.247,18
18.2623,17
18.2777,18
18.293,18
18.3083,26
18.3237,17
18.339,20
18.3543,21
18.3697,18
18.385,32
18.4003,25
18.4157,22
18.431,20
18.4463,18
18.4617,20
18.477,24
18.4923,20
18.5077,14
18.523,19
18.5383,28
18.5537,26
18.569,19
18.5843,16
18.5997,20
18.615,27
18.6303,19
18.6457,26
18.661,21
18.6763,32
18.6916,17
18.707,28
18.7223,16
18.7376,20
18.753,20
18.7683,25
18.7836,25
18.799,26
18.8143,26
18.8296,15
18.845,22
18.8603,23
18.8756,19
18.891,17
18.9063,12
18.9216,21
18.937,20
18.9523,25
18.9676,23
18.983,20
18.9983,24
19.0136,23
19.029,28
19.0443,22
19.0596,30
19.0749,25
19.0903,33
19.1056,31
19.1209,31
19.1363,44
19.1516,62
19.1669,106
19.1823,147
19.1976,151
19.2129,125
19.2283,177
19.2436,248
19.2589,300
19.2743,233
19.2896,180
19.3049,131
19.3203,118
19.3356,75
19.3509,52
19.3663,28
19.3816,38
19.3969,34
19.4123,31
19.4276,38
19.4429,37
19.4583,36
19.4736,35
19.4889,32
19.5042,31
19.5196,39
19.5349,32
19.5502,25
19.5656,27
19.5809,24
19.5962,28
19.6116,16
19.6269,33
19.6422,27
19.6576,21
19.6729,21
19.6882,27
19.7036,23
19.7189,16
19.7342,27
19.7496,26
19.7649,23
19.7802,16
19.7956,21
19.8109,22
19.8262,25
19.8416,26
19.8569,21
19.8722,29
19.8875,18
19.9029,17
19.9182,31
19.9335,27
19.9489,21
19.9642,24
19.9795,20
19.9949,24
20.0102,29
20.0255,28
20.0409,23
20.0562,26
20.0715,18
20.0869,32
20.1022,12
20.1175,29
20.1329,26
20.1482,13
20.1635,20
20.1789,26
20.1942,29
20.2095,22
20.2249,26
20.2402,28
20.2555,23
20.2709,20
20.2862,25
20.3015,14
20.3168,15
20.3322,26
20.3475,19
20.3628,28
20.3782,27
20.3935,19
20.4088,22
20.4242,29
20.4395,23
20.4548,27
20.4702,37
20.4855,22
20.5008,30
20.5162,35
20.5315,24
20.5468,27
20.5622,32
20.5775,36
20.5928,29
20.6082,25
20.6235,17
20.6388,15
20.6542,26
20.6695,32
20.6848,33
20.7001,29
20.7155,25
20.7308,25
20.7461,26
20.7615,24
20.7768,24
20.7921,28
20.8075,48
20.8228,40
20.8381,39
20.8535,39
20.8688,34
20.8841,34
20.8995,38
20.9148,41
20.9301,37
20.9455,37
20.9608,32
20.9761,24
20.9915,26
21.0068,19
21.0221,16
21.0375,30
21.0528,17
21.0681,24
21.0835,21
21.0988,20
21.1141,19
21.1294,27
21.1448,20
21.1601,18
21.1754,22
21.1908,20
21.2061,34
21.2214,19
21.2368,16
21.2521,26
21.2674,25
21.2828,21
21.2981,23
21.3134,23
21.3288,37
21.3441,19
21.3594,21
21.3748,24
21.3901,29
21.4054,23
21.4208,35
21.4361,25
21.4514,26
21.4668,22
21.4821,23
21.4974,25
21.5127,26
21.5281,31
21.5434,28
21.5587,25
21.5741,29
21.5894,26
21.6047,33
21.6201,22
21.6354,19
21.6507,33
21.6661,16
21.6814,30
21.6967,23
21.7121,35
21.7274,30
21.7427,36
21.7581,29
21.7734,33
21.7887,25
21.8041,33
21.8194,32
21.8347,38
21.8501,38
21.8654,43
21.8807,41
21.8961,46
21.9114,53
21.9267,42
21.942,42
21.9574,39
21.9727,42
21.988,50
22.0034,41
22.0187,49
22.034,32
22.0494,36
22.0647,58
22.08,86
22.0954,81
22.1107,53
22.126,49
22.1414,68
22.1567,47
22.172,36
22.1874,44
22.2027,45
22.218,56
22.2334,64
22.2487,71
22.264,110
22.2794,202
22.2947,311
22.31,358
22.3253,314
22.3407,374
22.356,546
22.3713,998
22.3867,1377
22.402,850
22.4173,513
22.4327,610
22.448,653
22.4633,323
22.4787,116
22.494,91
22.5093,72
22.5247,53
22.54,46
22.5553,36
22.5707,57
22.586,44
22.6013,49
22.6167,33
22.632,33
22.6473,36
22.6627,39
22.678,30
22.6933,36
22.7087,46
22.724,34
22.7393,34
22.7546,36
22.77,43
22.7853,30
22.8006,30
