theta,int,idk
5.240000,0.00787,0.00000
5.250000,0.00785,0.00000
5.260000,0.00782,0.00000
5.270000,0.00780,0.00000
5.280000,0.00778,0.00000
5.290000,0.00776,0.00000
5.300000,0.00774,0.00000
5.310000,0.00772,0.00000
5.320000,0.00769,0.00000
5.330000,0.00767,0.00000
5.340000,0.00765,0.00000
5.350000,0.00763,0.00000
5.360000,0.00761,0.00000
5.370000,0.00759,0.00000
5.380000,0.00757,0.00000
5.390000,0.00755,0.00000
5.400000,0.00753,0.00000
5.410000,0.00751,0.00000
5.420000,0.00749,0.00000
5.430000,0.00747,0.00000
5.440000,0.00745,0.00000
5.450000,0.00743,0.00000
5.460000,0.00741,0.00000
5.470000,0.00739,0.00000
5.480000,0.00737,0.00000
5.490000,0.00735,0.00000
5.500000,0.00733,0.00000
5.510000,0.00731,0.00000
5.520000,0.00729,0.00000
5.530000,0.00727,0.00000
5.540000,0.00725,0.00000
5.550000,0.00723,0.00000
5.560000,0.00722,0.00000
5.570000,0.00720,0.00000
5.580000,0.00718,0.00000
5.590000,0.00716,0.00000
5.600000,0.00714,0.00000
5.610000,0.00712,0.00000
5.620000,0.00711,0.00000
5.630000,0.00709,0.00000
5.640000,0.00707,0.00000
5.650000,0.00705,0.00000
5.660000,0.00703,0.00000
5.670000,0.00702,0.00000
5.680000,0.00700,0.00000
5.690000,0.00698,0.00000
5.700000,0.00696,0.00000
5.710000,0.00695,0.00000
5.720000,0.00693,0.00000
5.730000,0.00691,0.00000
5.740000,0.00690,0.00000
5.750000,0.00688,0.00000
5.760000,0.00686,0.00000
5.770000,0.00685,0.00000
5.780000,0.00683,0.00000
5.790000,0.00681,0.00000
5.800000,0.00680,0.00000
5.810000,0.00678,0.00000
5.820000,0.00676,0.00000
5.830000,0.00675,0.00000
5.840000,0.00673,0.00000
5.850000,0.00672,0.00000
5.860000,0.00670,0.00000
5.870000,0.00668,0.00000
5.880000,0.00667,0.00000
5.890000,0.00665,0.00000
5.900000,0.00664,0.00000
5.910000,0.00662,0.00000
5.920000,0.00661,0.00000
5.930000,0.00659,0.00000
5.940000,0.00658,0.00000
5.950000,0.00656,0.00000
5.960000,0.00655,0.00000
5.970000,0.00653,0.00000
5.980000,0.00652,0.00000
5.990000,0.00650,0.00000
6.000000,0.00649,0.00000
6.010000,0.00647,0.00000
6.020000,0.00646,0.00000
6.030000,0.00644,0.00000
6.040000,0.00643,0.00000
6.050000,0.00642,0.00000
6.060000,0.00640,0.00000
6.070000,0.00639,0.00000
6.080000,0.00637,0.00000
6.090000,0.00636,0.00000
6.100000,0.00635,0.00000
6.110000,0.00633,0.00000
6.120000,0.00632,0.00000
6.130000,0.00630,0.00000
6.140000,0.00629,0.00000
6.150000,0.00628,0.00000
6.160000,0.00626,0.00000
6.170000,0.00625,0.00000
6.180000,0.00624,0.00000
6.190000,0.00622,0.00000
6.200000,0.00621,0.00000
6.210000,0.00620,0.00000
6.220000,0.00618,0.00000
6.230000,0.00617,0.00000
6.240000,0.00616,0.00000
6.250000,0.00615,0.00000
6.260000,0.00613,0.00000
6.270000,0.00612,0.00000
6.280000,0.00611,0.00000
6.290000,0.00610,0.00000
6.300000,0.00608,0.00000
6.310000,0.00607,0.00000
6.320000,0.00606,0.00000
6.330000,0.00605,0.00000
6.340000,0.00603,0.00000
6.350000,0.00602,0.00000
6.360000,0.00601,0.00000
6.370000,0.00600,0.00000
6.380000,0.00599,0.00000
6.390000,0.00597,0.00000
6.400000,0.00596,0.00000
6.410000,0.00595,0.00000
6.420000,0.00594,0.00000
6.430000,0.00593,0.00000
6.440000,0.00592,0.00000
6.450000,0.00590,0.00000
6.460000,0.00589,0.00000
6.470000,0.00588,0.00000
6.480000,0.00587,0.00000
6.490000,0.00586,0.00000
6.500000,0.00585,0.00000
6.510000,0.00584,0.00000
6.520000,0.00583,0.00000
6.530000,0.00582,0.00000
6.540000,0.00580,0.00000
6.550000,0.00579,0.00000
6.560000,0.00578,0.00000
6.570000,0.00577,0.00000
6.580000,0.00576,0.00000
6.590000,0.00575,0.00000
6.600000,0.00574,0.00000
6.610000,0.00573,0.00000
6.620000,0.00572,0.00000
6.630000,0.00571,0.00000
6.640000,0.00570,0.00000
6.650000,0.00569,0.00000
6.660000,0.00568,0.00000
6.670000,0.00567,0.00000
6.680000,0.00566,0.00000
6.690000,0.00565,0.00000
6.700000,0.00564,0.00000
6.710000,0.00563,0.00000
6.720000,0.00562,0.00000
6.730000,0.00561,0.00000
6.740000,0.00560,0.00000
6.750000,0.00559,0.00000
6.760000,0.00558,0.00000
6.770000,0.00557,0.00000
6.780000,0.00556,0.00000
6.790000,0.00555,0.00000
6.800000,0.00554,0.00000
6.810000,0.00553,0.00000
6.820000,0.00552,0.00000
6.830000,0.00551,0.00000
6.840000,0.00551,0.00000
6.850000,0.00550,0.00000
6.860000,0.00549,0.00000
6.870000,0.00548,0.00000
6.880000,0.00547,0.00000
6.890000,0.00546,0.00000
6.900000,0.00545,0.00000
6.910000,0.00544,0.00000
6.920000,0.00543,0.00000
6.930000,0.00543,0.00000
6.940000,0.00542,0.00000
6.950000,0.00541,0.00000
6.960000,0.00540,0.00000
6.970000,0.00539,0.00000
6.980000,0.00538,0.00000
6.990000,0.00537,0.00000
7.000000,0.00537,0.00000
7.010000,0.00536,0.00000
7.020000,0.00535,0.00000
7.030000,0.00534,0.00000
7.040000,0.00533,0.00000
7.050000,0.00533,0.00000
7.060000,0.00532,0.00000
7.070000,0.00531,0.00000
7.080000,0.00530,0.00000
7.090000,0.00529,0.00000
7.100000,0.00529,0.00000
7.110000,0.00528,0.00000
7.120000,0.00527,0.00000
7.130000,0.00526,0.00000
7.140000,0.00526,0.00000
7.150000,0.00525,0.00000
7.160000,0.00524,0.00000
7.170000,0.00523,0.00000
7.180000,0.00523,0.00000
7.190000,0.00522,0.00000
7.200000,0.00521,0.00000
7.210000,0.00520,0.00000
7.220000,0.00520,0.00000
7.230000,0.00519,0.00000
7.240000,0.00518,0.00000
7.250000,0.00518,0.00000
7.260000,0.00517,0.00000
7.270000,0.00516,0.00000
7.280000,0.00516,0.00000
7.290000,0.00515,0.00000
7.300000,0.00514,0.00000
7.310000,0.00514,0.00000
7.320000,0.00513,0.00000
7.330000,0.00512,0.00000
7.340000,0.00512,0.00000
7.350000,0.00511,0.00000
7.360000,0.00510,0.00000
7.370000,0.00510,0.00000
7.380000,0.00509,0.00000
7.390000,0.00508,0.00000
7.400000,0.00508,0.00000
7.410000,0.00507,0.00000
7.420000,0.00507,0.00000
7.430000,0.00506,0.00000
7.440000,0.00505,0.00000
7.450000,0.00505,0.00000
7.460000,0.00504,0.00000
7.470000,0.00504,0.00000
7.480000,0.00503,0.00000
7.490000,0.00502,0.00000
7.500000,0.00502,0.00000
7.510000,0.00501,0.00000
7.520000,0.00501,0.00000
7.530000,0.00500,0.00000
7.540000,0.00500,0.00000
7.550000,0.00499,0.00000
7.560000,0.00498,0.00000
7.570000,0.00498,0.00000
7.580000,0.00497,0.00000
7.590000,0.00497,0.00000
7.600000,0.00496,0.00000
7.610000,0.00496,0.00000
7.620000,0.00495,0.00000
7.630000,0.00495,0.00000
7.640000,0.00494,0.00000
7.650000,0.00494,0.00000
7.660000,0.00493,0.00000
7.670000,0.00493,0.00000
7.680000,0.00492,0.00000
7.690000,0.00492,0.00000
7.700000,0.00491,0.00000
7.710000,0.00491,0.00000
7.720000,0.00490,0.00000
7.730000,0.00490,0.00000
7.740000,0.00489,0.00000
7.750000,0.00489,0.00000
7.760000,0.00489,0.00000
7.770000,0.00488,0.00000
7.780000,0.00488,0.00000
7.790000,0.00487,0.00000
7.800000,0.00487,0.00000
7.810000,0.00486,0.00000
7.820000,0.00486,0.00000
7.830000,0.00486,0.00000
7.840000,0.00485,0.00000
7.850000,0.00485,0.00000
7.860000,0.00484,0.00000
7.870000,0.00484,0.00000
7.880000,0.00484,0.00000
7.890000,0.00483,0.00000
7.900000,0.00483,0.00000
7.910000,0.00483,0.00000
7.920000,0.00482,0.00000
7.930000,0.00482,0.00000
7.940000,0.00482,0.00000
7.950000,0.00481,0.00000
7.960000,0.00481,0.00000
7.970000,0.00481,0.00000
7.980000,0.00480,0.00000
7.990000,0.00480,0.00000
8.000000,0.00480,0.00000
8.010000,0.00479,0.00000
8.020000,0.00479,0.00000
8.030000,0.00479,0.00000
8.040000,0.00478,0.00000
8.050000,0.00478,0.00000
8.060000,0.00478,0.00000
8.070000,0.00478,0.00000
8.080000,0.00477,0.00000
8.090000,0.00477,0.00000
8.100000,0.00477,0.00000
8.110000,0.00477,0.00000
8.120000,0.00476,0.00000
8.130000,0.00476,0.00000
8.140000,0.00476,0.00000
8.150000,0.00476,0.00000
8.160000,0.00475,0.00000
8.170000,0.00475,0.00000
8.180000,0.00475,0.00000
8.190000,0.00475,0.00000
8.200000,0.00475,0.00000
8.210000,0.00474,0.00000
8.220000,0.00474,0.00000
8.230000,0.00474,0.00000
8.240000,0.00474,0.00000
8.250000,0.00474,0.00000
8.260000,0.00474,0.00000
8.270000,0.00473,0.00000
8.280000,0.00473,0.00000
8.290000,0.00473,0.00000
8.300000,0.00473,0.00000
8.310000,0.00473,0.00000
8.320000,0.00473,0.00000
8.330000,0.00473,0.00000
8.340000,0.00473,0.00000
8.350000,0.00472,0.00000
8.360000,0.00472,0.00000
8.370000,0.00472,0.00000
8.380000,0.00472,0.00000
8.390000,0.00472,0.00000
8.400000,0.00472,0.00000
8.410000,0.00472,0.00000
8.420000,0.00472,0.00000
8.430000,0.00472,0.00000
8.440000,0.00472,0.00000
8.450000,0.00472,0.00000
8.460000,0.00472,0.00000
8.470000,0.00472,0.00000
8.480000,0.00472,0.00000
8.490000,0.00472,0.00000
