,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5
36,36,181.72361809045225,1.242770645061112,0.8651937418750073,0.3775769031861047,5.984024052569445,5.9365973441666675,0.047426708402777074,10.9587339375,10.951593984305553,0.007139953194446491,15.957580018472223,15.965471227569445,-0.007891209097222074,20.937754289583335,20.98415530305555,-0.04640101347221659,25.67647295091111,26.05655337722222,-0.3800804263111104
37,37,186.7437185929648,1.2435535163777791,0.8651545704861174,0.3783989458916617,5.980462380208333,5.935226028055556,0.045236352152777215,10.957569823680554,10.950324460069444,0.007245363611110278,15.958800716527776,15.966780856944442,-0.007980140416666615,20.938823333958332,20.98465179381945,-0.0458284598611165,25.67515450036111,26.057414864930553,-0.38226036456944357
38,38,191.76381909547737,1.2401700013027797,0.8616592437500018,0.37851075755277785,5.978599461041667,5.933039609791667,0.04555985125000017,10.955276522847223,10.94933748847222,0.005939034375002095,15.957699082708334,15.965740081527777,-0.008040998819442535,20.939655842569447,20.98360201263889,-0.043946170069443014,25.67510096466667,26.057789199652778,-0.3826882349861087
39,39,196.78391959798995,1.239896742622224,0.8596974904166744,0.3801992522055496,5.975939273888888,5.931910941805556,0.044028332083332344,10.952721673680555,10.948996234722223,0.0037254389583321057,15.959054846736112,15.965483286458335,-0.006428439722222734,20.939456748819445,20.984032122361114,-0.04457537354166874,25.674885639455553,26.05696953048611,-0.3820838910305575
40,40,201.8040201005025,1.2395471625527796,0.8564265043055606,0.3831206582472191,5.97273439625,5.929643875277779,0.04309052097222121,10.951525539444445,10.948617641666667,0.0029078977777778903,15.961520432361112,15.96604750625,-0.004527073888887401,20.938727471944443,20.98451371256944,-0.0457862406249987,25.673276077649998,26.056730940208336,-0.38345486255833805
41,41,206.82412060301505,1.2372283158861128,0.8545693480555623,0.38265896783055053,5.971724912708333,5.928009936041667,0.04371497666666624,10.951545221111111,10.948536706250001,0.0030085148611096457,15.9589472725,15.96531645111111,-0.0063691786111110815,20.938281193819446,20.98460232548611,-0.04632113166666585,25.672749194594445,26.056524550277775,-0.3837753556833299
42,42,211.84422110552762,1.243470527555557,0.8587941006250125,0.3846764269305446,5.974494403472223,5.930738655069444,0.04375574840277885,10.95469044138889,10.95131357201389,0.0033768693749998135,15.961906380486113,15.967846668263892,-0.0059402877777792185,20.937905560486108,20.986038584722223,-0.04813302423611532,25.673959012024998,26.057793398958335,-0.38383438693333716
43,43,216.8643216080402,1.2418206245027792,0.8573539636111176,0.3844666608916616,5.974124362083334,5.929091183819445,0.045033178263889084,10.954354903541665,10.94985009965278,0.004504803888885078,15.958837268333335,15.96571449326389,-0.006877224930555315,20.93647680979167,20.983969244027776,-0.04749243423610494,25.673250335219443,26.056685860694447,-0.38343552547500437
44,44,221.88442211055275,1.2424292579694463,0.8587709865277849,0.3836582714416613,5.973995662847223,5.928915957291667,0.04507970555555563,10.952007253541668,10.948203662569446,0.0038035909722218264,15.955543966527777,15.962312869930555,-0.006768903402777582,20.93275508472222,20.97997292513889,-0.047217840416667656,25.669299829180556,26.051546826944445,-0.3822469977638896
45,45,226.9045226130653,1.2456809935944464,0.8597278243055622,0.38595316928888423,5.974870412430556,5.930569310694445,0.044301101736111015,10.954133064375,10.949242867777777,0.004890196597223451,15.957718518055556,15.962237188680556,-0.004518670624999999,20.932782842569445,20.978567235277776,-0.04578439270833101,25.67142645244722,26.051027555972222,-0.3796011035250011
