,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3
34,34,171.68341708542712,1.27026184296875,0.8561563403515919,0.41410550261715806,5.926522089452394,5.865865185312501,0.06065690413989344,10.758153864688964,10.818970662148438,-0.06081679745947355,15.413149304609377,15.827349708007814,-0.41420040339843744
35,35,176.7035175879397,1.270917123515625,0.8563760301562768,0.4145410933593481,5.928174407460205,5.865856353242188,0.06231805421801706,10.758225760860839,10.818785212109375,-0.06055945124853679,15.41372884074219,15.827044622968753,-0.4133157822265634
36,36,181.72361809045225,1.2717044108593751,0.8567439997656504,0.4149604110937247,5.928048323671144,5.865884583984376,0.062163739686767805,10.757676200469483,10.817795296484375,-0.06011909601489229,15.413085451796876,15.826341615039063,-0.4132561632421865
37,37,186.7437185929648,1.271975560625,0.8578729718359648,0.4141025887890353,5.92953354972583,5.866774004765626,0.06275954496020475,10.75807743285376,10.8188994546875,-0.06082202183374008,15.414170955039065,15.826782466171878,-0.4126115111328126
38,38,191.76381909547737,1.274397695234375,0.8610774025000254,0.41332029273434956,5.930231845664795,5.86830719984375,0.061924645821044955,10.75797039609375,10.819472120781251,-0.061501724687500925,15.414968561953126,15.826977925664064,-0.4120093637109381
39,39,196.78391959798995,1.2729261137890626,0.8608727505078386,0.412053363281224,5.928248573164063,5.867481846796876,0.06076672636718694,10.757881317110108,10.819234257578126,-0.061352940468017536,15.414483802187501,15.826896527148438,-0.4124127249609373
40,40,201.8040201005025,1.2719512342578125,0.86184738769534,0.41010384656247256,5.928636700546876,5.868353824921876,0.06028287562500001,10.759198239921144,10.8198299940625,-0.06063175414135635,15.415366436523438,15.826733777812501,-0.41136734128906305
41,41,206.82412060301505,1.2712009587109376,0.8611070848828394,0.41009387382809825,5.928589734530519,5.867488687578126,0.061101046952392934,10.759523224609376,10.819389121367188,-0.0598658967578114,15.415552140937502,15.826168650234376,-0.4106165092968741
42,42,211.84422110552762,1.2693823687109376,0.8603545489062769,0.40902781980466063,5.92805581238208,5.867151045585938,0.060904766796141985,10.760000851014894,10.81900686058594,-0.05900600957104629,15.415981086757814,15.82495575886719,-0.40897467210937677
43,43,216.8643216080402,1.268837543984375,0.8585437553515891,0.410293788632786,5.925490763319581,5.866112659218751,0.05937810410082989,10.758825543007813,10.818777864023438,-0.05995232101562564,15.417852604296876,15.824597577929689,-0.40674497363281326
44,44,221.88442211055275,1.2672826627734377,0.858020540468778,0.40926212230465975,5.923172748085205,5.864786106757813,0.058386641327392574,10.758058575430422,10.817672545429687,-0.05961396999926549,15.417792303203125,15.824128707539064,-0.40633640433593854
45,45,226.9045226130653,1.26583649640625,0.8565470883203388,0.4092894080859113,5.919357494021973,5.863200860937501,0.056156633084472496,10.756281162735108,10.816551381914062,-0.060270219178953255,15.416860569218752,15.823923881601562,-0.40706331238281024
46,46,231.92462311557787,1.2671156731640627,0.8594802455859636,0.4076354275780991,5.920143480428956,5.864728663125001,0.05541481730395503,10.758059878633546,10.8175537825,-0.05949390386645348,15.416987565195313,15.824815579062502,-0.4078280138671886
47,47,236.94472361809045,1.2689436575390625,0.8618471396484657,0.40709651789059675,5.921800973750001,5.866457894804688,0.055343078945313096,10.760146554219483,10.819326263554688,-0.05917970933520422,15.41776933625,15.826352861914064,-0.40858352566406353
48,48,241.964824120603,1.2692975135546876,0.8620016351953395,0.4072958783593481,5.921870721212402,5.866660815039063,0.05520990617333865,10.760690984335206,10.819483841406251,-0.058792857071045646,15.417757820078126,15.825282626718751,-0.40752480664062496
