,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4
20,20,101.40201005025125,1.2450585709722222,0.8721655208333541,0.3728930501388681,5.9846477049305555,5.940108383333334,0.04453932159722118,10.951123465,10.95311231263889,-0.0019888476388896237,15.922088832916668,15.965234780208334,-0.04314594729166643,20.658440642640876,21.033214213333334,-0.374773570692458
21,21,106.42211055276381,1.246740671325404,0.8720256036805755,0.3747150676448284,5.983548018125,5.940651811944445,0.04289620618055512,10.951427084097222,10.953020192013888,-0.0015931079166655593,15.923897687013888,15.966115132916665,-0.04221744590277687,20.65637145493652,21.03350034826389,-0.3771288933273702
22,22,111.44221105527637,1.2471790700773906,0.8698229128472352,0.37735615723015536,5.9805189048611105,5.938143809027778,0.04237509583333221,10.94994284125,10.95022340590278,-0.00028056465277970233,15.92234902590278,15.964855751180558,-0.042506725277778656,20.65470942736707,21.03255550763889,-0.3778460802718193
23,23,116.46231155778894,1.2470603315377102,0.8677456264583504,0.3793147050793598,5.979563600347222,5.936997764930556,0.04256583541666625,10.94897152875,10.94946421701389,-0.0004926882638898178,15.92160137527778,15.96492229111111,-0.04332091583333053,20.6547047096647,21.034065381666668,-0.3793606720019689
24,24,121.4824120603015,1.2489115621607236,0.8673338171527948,0.38157774500792885,5.9794614783333335,5.93613479375,0.04332668458333355,10.94850856423611,10.948330284097223,0.00017828013888809835,15.919957274930558,15.96352886923611,-0.04357159430555235,20.652647454454378,21.033379248333333,-0.3807317938789545
25,25,126.50251256281406,1.2462842238968348,0.8646645607639071,0.3816196631329277,5.978894031805556,5.9342340982638895,0.04465993354166642,10.948517611875,10.948044183402779,0.00047342847222076045,15.919304205972225,15.963816584930555,-0.0445123789583306,20.65302612063692,21.03462657104167,-0.38160045040475055
26,26,131.52261306532662,1.246142994940488,0.8651332506250162,0.38100974431547185,5.980638147361112,5.935161622500001,0.04547652486111087,10.951203059097223,10.950021976666667,0.0011810824305555911,15.920363778194444,15.964786680694443,-0.04442290249999914,20.65178079112303,21.03603007486111,-0.3842492837380789
27,27,136.5427135678392,1.2480296701468347,0.8653596432639041,0.3826700268829306,5.980096243611111,5.934762139583333,0.04533410402777793,10.952024378333334,10.950624526666665,0.0013998516666688943,15.919158873472222,15.965118657361112,-0.04595978388888966,20.65060344647025,21.03501016083333,-0.38440671436308094
28,28,141.56281407035175,1.2471475589662793,0.8640073581250185,0.38314020084126077,5.979048268263889,5.933796855555556,0.04525141270833277,10.951195337708334,10.949468811180557,0.0017265265277774944,15.917565270625001,15.963546906666668,-0.04598163604166672,20.649751554664697,21.03461849611111,-0.38486694144641476
29,29,146.5829145728643,1.247891939172626,0.8623816018055767,0.3855103373670493,5.9781711120138885,5.933238708819444,0.04493240319444425,10.95057703777778,10.948140289305556,0.0024367484722240818,15.919262340277776,15.962792942222222,-0.0435306019444468,20.64732335355359,21.033118955069444,-0.3857956015158557
30,30,151.60301507537687,1.249560027716279,0.8622174518055739,0.3873425759107052,5.976951617986112,5.932929449652779,0.044022168333333056,10.949591304236112,10.949019113194446,0.0005721910416660592,15.920196039861114,15.96444354875,-0.04424750888888518,20.647830117371043,21.033412241388888,-0.3855821240178443
