theta,int,idk
5.200000,0.00570,0.00000
5.210000,0.00569,0.00000
5.220000,0.00567,0.00000
5.230000,0.00566,0.00000
5.240000,0.00564,0.00000
5.250000,0.00562,0.00000
5.260000,0.00561,0.00000
5.270000,0.00559,0.00000
5.280000,0.00558,0.00000
5.290000,0.00556,0.00000
5.300000,0.00554,0.00000
5.310000,0.00553,0.00000
5.320000,0.00551,0.00000
5.330000,0.00550,0.00000
5.340000,0.00548,0.00000
5.350000,0.00547,0.00000
5.360000,0.00545,0.00000
5.370000,0.00544,0.00000
5.380000,0.00542,0.00000
5.390000,0.00541,0.00000
5.400000,0.00539,0.00000
5.410000,0.00538,0.00000
5.420000,0.00536,0.00000
5.430000,0.00535,0.00000
5.440000,0.00533,0.00000
5.450000,0.00532,0.00000
5.460000,0.00531,0.00000
5.470000,0.00529,0.00000
5.480000,0.00528,0.00000
5.490000,0.00526,0.00000
5.500000,0.00525,0.00000
5.510000,0.00524,0.00000
5.520000,0.00522,0.00000
5.530000,0.00521,0.00000
5.540000,0.00520,0.00000
5.550000,0.00518,0.00000
5.560000,0.00517,0.00000
5.570000,0.00516,0.00000
5.580000,0.00514,0.00000
5.590000,0.00513,0.00000
5.600000,0.00512,0.00000
5.610000,0.00510,0.00000
5.620000,0.00509,0.00000
5.630000,0.00508,0.00000
5.640000,0.00506,0.00000
5.650000,0.00505,0.00000
5.660000,0.00504,0.00000
5.670000,0.00503,0.00000
5.680000,0.00501,0.00000
5.690000,0.00500,0.00000
5.700000,0.00499,0.00000
5.710000,0.00498,0.00000
5.720000,0.00496,0.00000
5.730000,0.00495,0.00000
5.740000,0.00494,0.00000
5.750000,0.00493,0.00000
5.760000,0.00491,0.00000
5.770000,0.00490,0.00000
5.780000,0.00489,0.00000
5.790000,0.00488,0.00000
5.800000,0.00487,0.00000
5.810000,0.00486,0.00000
5.820000,0.00484,0.00000
5.830000,0.00483,0.00000
5.840000,0.00482,0.00000
5.850000,0.00481,0.00000
5.860000,0.00480,0.00000
5.870000,0.00479,0.00000
5.880000,0.00478,0.00000
5.890000,0.00476,0.00000
5.900000,0.00475,0.00000
5.910000,0.00474,0.00000
5.920000,0.00473,0.00000
5.930000,0.00472,0.00000
