,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1
43,43,216.8643216080402,1.226077103675,0.9006047876250242,0.32547231604997584,5.626717307875,5.951950477724999,-0.32523316984999884
44,44,221.88442211055275,1.225837695,0.9008512295500242,0.3249864654499759,5.627523329850001,5.952911049750001,-0.32538771990000015
45,45,226.9045226130653,1.2267372188499999,0.9023945803000243,0.3243426385499756,5.62893752155,5.952762878024999,-0.3238253564749991
46,46,231.92462311557787,1.2261442040250001,0.9020160034750245,0.3241282005499756,5.628352082900001,5.952722833575001,-0.32437075067499954
47,47,236.94472361809045,1.2255090154000001,0.9028891469250232,0.3226198684749769,5.628755066625001,5.952234424825,-0.3234793581999993
48,48,241.964824120603,1.2239853703,0.9026848498500244,0.3213005204499757,5.628070898625,5.951832870925001,-0.3237619723000007
49,49,246.98492462311555,1.2238397873000002,0.9033249397000256,0.3205148475999746,5.62779701025,5.95162699195,-0.32382998169999944
50,50,252.00502512562812,1.224124185825,0.9040451283250238,0.3200790574999762,5.629046534975,5.95211137925,-0.3230648442749997
51,51,257.0251256281407,1.2251489904250001,0.9042414228500228,0.3209075675749773,5.630208667775,5.953309984775001,-0.3231013170000008
52,52,262.04522613065325,1.223955198,0.9037550841750237,0.3202001138249764,5.630442312575001,5.952786986000001,-0.3223446734250004
53,53,267.0653266331658,1.223063680875,0.9030140251750243,0.3200496556999757,5.630751614225001,5.9526249434250005,-0.3218733291999998
54,54,272.0854271356784,1.2217286156,0.9032912112500244,0.3184374043499756,5.629758128825,5.95164293895,-0.3218848101249998
55,55,277.10552763819095,1.2203089123750002,0.9021577581250254,0.31815115424997475,5.628959212525001,5.9494541847,-0.3204949721749992
56,56,282.1256281407035,1.22193221505,0.9040147269250238,0.3179174881249762,5.6311066998750015,5.9500455286500005,-0.318938828774999
57,57,287.14572864321605,1.2225920676000002,0.904746354400024,0.3178457131999761,5.630839845650001,5.948991203175,-0.31815135752499923
58,58,292.1658291457286,1.2237057898,0.9055077302500228,0.31819805954997726,5.6339683326,5.950284340675,-0.3163160080749998
59,59,297.1859296482412,1.223570601801904,0.9061411542000232,0.31742944760188074,5.6339838124,5.950477154374999,-0.3164933419749989
60,60,302.20603015075375,1.222131058325,0.9056433467250236,0.31648771159997646,5.633825025450001,5.950586976175,-0.3167619507249988
61,61,307.2261306532663,1.2198745830269038,0.9050018023250239,0.31487278070187985,5.632928091525,5.95008440435,-0.31715631282500034
62,62,312.2462311557789,1.2195591282,0.9043992559500245,0.31515987224997555,5.63296364645,5.94969560755,-0.31673196109999946
63,63,317.26633165829145,1.2198153960269038,0.9054189483250231,0.3143964477018807,5.634141360723097,5.949931806775001,-0.31579044605190365
64,64,322.286432160804,1.2201044177519038,0.9058980123000245,0.3142064054518793,5.634818213700002,5.949699855225,-0.3148816415249982
65,65,327.30653266331655,1.2194716411,0.9061430369500243,0.31332860414997565,5.635582923448096,5.94943051645,-0.31384759300190357
66,66,332.3266331658291,1.2201308502250001,0.9073095409500257,0.3128213092749744,5.636339679373097,5.9494712039,-0.31313152452690307
67,67,337.3467336683417,1.2200440532480963,0.9051772424750246,0.31486681077307166,5.635965511425,5.947862857225001,-0.31189734580000117
68,68,342.36683417085425,1.2190776775980963,0.9042871373500244,0.31479054024807185,5.635136882471192,5.946315537425001,-0.3111786549538085
69,69,347.3869346733668,1.218498521975,0.9037563390250232,0.3147421829499768,5.634109821023096,5.945242339075,-0.3111325180519042
70,70,352.4070351758794,1.2168218624750002,0.9043644549000234,0.31245740757497686,5.6340965154500005,5.945457820575,-0.3113613051249997
71,71,357.42713567839195,1.2165305995730962,0.9051288060750241,0.31140179349807207,5.634199767275001,5.945735230750001,-0.3115354634750007
72,72,362.4472361809045,1.218120563601904,0.9067650614000234,0.31135550220188046,5.635073560098095,5.945736551074999,-0.31066299097690386
73,73,367.46733668341705,1.2205903709500001,0.908546222275024,0.3120441486749761,5.637987038075,5.947067471275,-0.3090804332000001
74,74,372.4874371859296,1.2189879353000002,0.9071721312250244,0.3118158040749758,5.637319189098096,5.9452071951,-0.307888006001904
75,75,377.5075376884422,1.22081070055,0.9087162019500248,0.3120944985999752,5.640436210923096,5.947146231824999,-0.30671002090190314
76,76,382.52763819095475,1.2182914425980962,0.9069191730500243,0.31137226954807184,5.63956366335,5.9466305340000005,-0.3070668706500008
