,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
46,46,231.92462311557787,1.2663817090625,0.8727280373047209,0.3936536717577791,5.8804441518748805,5.88112502375,-0.0006808718751196707,10.493382877382814,10.891724409882812,-0.39834153249999815
47,47,236.94472361809045,1.26552767,0.8728482652344081,0.39267940476559193,5.881668599335818,5.88182313390625,-0.00015453457043257401,10.494140728476562,10.8918171559375,-0.39767642746093834
48,48,241.964824120603,1.2645176267968752,0.8709173489062831,0.39360027789059204,5.880768188495914,5.878181221835938,0.002586966659976042,10.492833011718751,10.887879570429687,-0.39504655871093597
49,49,246.98492462311555,1.2632907091015626,0.8692489642578453,0.39404174484371735,5.879894916425602,5.876686479648438,0.003208436777164536,10.490824831796877,10.884948173671875,-0.3941233418749981
50,50,252.00502512562812,1.2624928036328127,0.8691554121484715,0.3933373914843412,5.880218492636779,5.8766068037500006,0.003611688886778097,10.490716699023437,10.883346843984375,-0.39263014496093795
51,51,257.0251256281407,1.2640893564453124,0.8705580156250347,0.39353134082027774,5.881739444335938,5.8776976864062505,0.004041757929687861,10.493356424921876,10.884394441914063,-0.3910380169921872
52,52,262.04522613065325,1.26143802125,0.8702965271875316,0.39114149406246845,5.880188746054688,5.87773494453125,0.002453801523437882,10.493326985195313,10.884007671640626,-0.39068068644531273
53,53,267.0653266331658,1.262655801640625,0.8716884662500348,0.39096733539059025,5.881330889179687,5.879084381953125,0.0022465072265624997,10.494549482851564,10.884988459570312,-0.39043897671874817
54,54,272.0854271356784,1.2623451330468751,0.8719029634765967,0.39044216957027844,5.880392279101563,5.8785069765625,0.0018853025390628275,10.492463709999999,10.884555250898437,-0.3920915408984378
55,55,277.10552763819095,1.2613581260937499,0.8727799150000348,0.38857821109371504,5.8808921465625,5.87916322125,0.0017289253125003512,10.493736146875001,10.88480830625,-0.39107215937499795
