,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5,z_Ba_layer6,z_S_layer6,z_diff_layer6
124,124,623.4924623115578,1.2440683630384248,0.8739790590971727,0.37008930394125217,5.993910749369768,5.9401763292361105,0.053734420133657146,10.96454353168236,10.959534900972223,0.005008630710136686,15.972813441597218,15.977975013749996,-0.005161572152777794,20.98362795126046,20.989452862222223,-0.005824910961763408,25.95569798895833,26.011606683124995,-0.05590869416666422,30.70238796880231,31.077434191319437,-0.3750462225171276
125,125,628.5125628140703,1.2448228713665268,0.8739418702777284,0.3708810010887984,5.997691706180555,5.942715897847221,0.054975808333333376,10.96541172432648,10.959189904722221,0.006221819604258272,15.971883582975648,15.978413784236109,-0.006530201260460444,20.986042125421893,20.990803819305555,-0.004761693883661877,25.959293317152774,26.012301607708327,-0.05300829055555312,30.706183421713742,31.08069640708333,-0.3745129853695879
126,126,633.5326633165829,1.2345092726650457,0.8647675767360629,0.36974169592898287,5.986312649637083,5.932919818333333,0.053392831303749944,10.956180283140693,10.95127586770833,0.004904415432362086,15.965626000326292,15.970932169444445,-0.005306169118153292,20.98257235452958,20.985973370624997,-0.0034010160954167645,25.957036991704722,26.00840801430555,-0.051371022600829264,30.70404793670328,31.077648543055552,-0.373600606352273
127,127,638.5527638190954,1.205240978012268,0.837042467638847,0.3681985103734209,5.957864800647361,5.9050965686805545,0.052768231966806134,10.931231750704905,10.92546246048611,0.005769290218795575,15.9456858446856,15.94906433298611,-0.0033784883005090194,20.962508484935785,20.967928404999995,-0.005419920064209549,25.943491655636894,25.992896563541663,-0.049404907904769146,30.692437501538237,31.06340274326389,-0.3709652417256528
128,128,643.572864321608,1.1713910158490275,0.8054731250693989,0.36591789077962855,5.917344940583147,5.8720985897916655,0.04524635079148176,10.901498579599027,10.895264427152776,0.006234152446250363,15.920265131261898,15.923508435625,-0.0032433043631012737,20.93953454571014,20.946315435138885,-0.0067808894287466615,25.922455930145553,25.970372993124997,-0.04791706297944387,30.669111872986107,31.038112343958332,-0.36900047097222455
129,129,648.5929648241206,1.1492149382900456,0.7875864964582844,0.36162844183176124,5.8934723631525925,5.852063284930555,0.04140907822203754,10.885485185843795,10.877515892777776,0.007969293066018679,15.907112202586575,15.905635852291665,0.0014763502949097784,20.92390359439069,20.93165787236111,-0.007754277970420276,25.91025343264555,25.956936221597218,-0.04668278895166722,30.6547424413299,31.023023222916663,-0.3682807815867619
130,130,653.6130653266331,1.158042356211944,0.7985764411110579,0.3594659151008861,5.900222461084954,5.862057019930555,0.03816544115439857,10.894854126335138,10.887046385069445,0.007807741265693835,15.918787108788056,15.916638621874995,0.0021484869130610207,20.935136301329905,20.945012125763885,-0.00987582443397983,25.92061234892171,25.968669266944442,-0.0480569180227306,30.666148198717174,31.031446610069437,-0.3652984113522635
131,131,658.6331658291457,1.1819371327987032,0.822695311944398,0.3592418208543051,5.922887905043287,5.884273338472222,0.03861456657106466,10.913860865100832,10.906680597430555,0.0071802676702770185,15.936612016689025,15.933583400902775,0.00302861578625091,20.949956480784813,20.95985595131944,-0.009899470534627142,25.9352785782325,25.982603429166666,-0.04732485093416727,30.680168360170278,31.044028992638882,-0.36386063246860445
132,132,663.6532663316582,1.2075528325956013,0.8497121401388442,0.3578406924567571,5.94587339683838,5.907681717499999,0.038191679338380524,10.935055223578285,10.929155920833331,0.0058993027449538715,15.95917122169949,15.957105259305555,0.0020659623939351945,20.971542670939396,20.98043955444444,-0.008896883505045139,25.951964691779395,26.00020485333333,-0.04824016155393451,30.696613979828285,31.059973449930553,-0.3633594701022673
133,133,668.6733668341708,1.217490881890694,0.8608216602777268,0.3566692216129672,5.959098782260278,5.917872653541666,0.041226128718611754,10.945800914694628,10.940018044513888,0.005782870180739863,15.965071112682173,15.967462634999997,-0.002391522317823913,20.97697784593416,20.98959260472222,-0.0126147587880574,25.96171003497907,26.008982514374996,-0.04727247939592516,30.70655010482828,31.068150385624993,-0.36160028079671136
134,134,673.6934673366834,1.2189011715487033,0.8606684809721732,0.35823269057653007,5.96496020843037,5.9177296524999985,0.04723055593037184,10.947818350998379,10.940323861666664,0.007494489331714149,15.963254497730693,15.966600491805556,-0.0033459940748628014,20.979114840507034,20.989251734374996,-0.010136893867962016,25.965164345310598,26.009722144999998,-0.04455779968940021,30.706746826206704,31.06933864166666,-0.36259181545995745
135,135,678.7135678391959,1.216823816548703,0.8580374495832864,0.35878636696541666,5.965748643147361,5.918666870347221,0.04708177280013981,10.948013456767498,10.939612963888887,0.008400492878610777,15.960939925513705,15.964061997430555,-0.003122071916850544,20.974967042590364,20.985198690694443,-0.010231648104078062,25.960248695513698,26.007798768472217,-0.04755007295851854,30.7024563126755,31.06432344291666,-0.36186713024115846
136,136,683.7336683417085,1.221847095095601,0.863102010069396,0.35874508502620506,5.976167563381852,5.924099325138888,0.05206823824296336,10.952405297392497,10.943712016805554,0.008693280586943075,15.963045732874813,15.967342208194443,-0.004296475319630844,20.982483907520923,20.990934235902774,-0.008450328381851335,25.968982101347038,26.014403179166663,-0.045421077819625566,30.713441540571253,31.072526825694442,-0.3590852851231894
137,137,688.7537688442211,1.2271493642032862,0.8687924641666191,0.3583569000366671,5.977272522762083,5.928246210694443,0.049026312067639743,10.959098027119952,10.947322631597222,0.011775395522729326,15.96976977183838,15.971086488402774,-0.0013167165643945822,20.989350981767497,20.99484229159722,-0.005491309829722013,25.97240037391648,26.019125320694442,-0.046724946777963794,30.71702006876569,31.077250146111105,-0.36023007734541324
138,138,693.7738693467336,1.2308173884289344,0.8765971866666185,0.35422020176231594,5.983582016432176,5.934813617708333,0.0487683987238432,10.964824165944627,10.953309300833332,0.011514865111294625,15.974928949840184,15.97660802847222,-0.0016790786320370898,20.991658877328284,20.999834848541663,-0.00817597121337954,25.974017853360927,26.02100674534722,-0.04698889198629175,30.72178391003139,31.080348644652776,-0.3585647346213854
139,139,698.7939698492462,1.2463081200366195,0.8953012265971749,0.3510068934394446,5.999020755529397,5.950183019722221,0.048837735807175875,10.983990856574858,10.97014274923611,0.013848107338747084,15.99009633255898,15.99309844833333,-0.0030021157743487237,21.010196982616524,21.015851075902773,-0.005654093286249662,25.989717432522358,26.03381091777777,-0.0440934852554129,30.733422336569625,31.094625755763886,-0.36120341919426124
140,140,703.8140703517588,1.2461952366338418,0.8897114793055066,0.35648375732833515,5.997055507810602,5.9432608589583324,0.05379464885226959,10.974573609764072,10.963333859236108,0.01123975052796311,15.984784745256851,15.984279619027777,0.0005051262290738379,20.992981280810966,21.005369915624996,-0.012388634814030297,25.976770276005045,26.02432877756944,-0.04755850156439578,30.725282909074863,31.08358534854166,-0.3583024394667973
141,141,708.8341708542713,1.2326988890643973,0.8754834506943969,0.35721543837000036,5.983404667334954,5.929887111736111,0.05351755559884275,10.956317006852636,10.950503812986108,0.00581319386652801,15.970042811795091,15.971404141597219,-0.0013613298021279974,20.98146250575199,20.993988334791666,-0.012525829039677916,25.96577135338708,26.01288863555555,-0.047117282168471775,30.714154970116525,31.070861805972218,-0.35670683585569307
142,142,713.8542713567839,1.230261061687592,0.8677825937499501,0.3624784679376418,5.977273117255046,5.924541134236111,0.052731983018935225,10.955197691029767,10.948196802430553,0.0070008885992134395,15.970284961378423,15.96955911895833,0.0007258424200937696,20.97825155346555,20.991431691249993,-0.013180137784441825,25.96856211595129,26.011677635555554,-0.04311551960426385,30.716895575592176,31.073981135208328,-0.3570855596161522
143,143,718.8743718592964,1.217787800421898,0.8561712963193915,0.36161650410250656,5.965332903980695,5.9112709445138885,0.054061959466806364,10.940496909630415,10.934527494513887,0.005969415116528154,15.962098798985924,15.958848417152776,0.003250381833147742,20.974889327616527,20.983745890069443,-0.008856562452915995,25.96299133031583,26.006797616666663,-0.043806286350832835,30.71489837926227,31.069472167986103,-0.35457378872383316
144,144,723.894472361809,1.2260973907153698,0.8649283307638387,0.36116905995153115,5.974976479461574,5.921781274930556,0.05319520453101845,10.949994377333516,10.943738945069443,0.00625543226407288,15.97164667767171,15.96820896444444,0.003437713227270933,20.986412257819627,20.99388272506944,-0.007470467249813595,25.972651481565833,26.01333296520833,-0.040681483642497795,30.72105334974838,31.075882918194438,-0.35482956844605695
145,145,728.9145728643216,1.2310625499305554,0.8722213531249545,0.3588411968056009,5.981430130503241,5.930458745069444,0.050971385433796534,10.95934767460949,10.95318213222222,0.00616554238726863,15.983638258425136,15.978111536458332,0.00552672196680426,20.994330627809163,21.00518892555555,-0.010858297746388246,25.981647111774162,26.023496908680553,-0.04184979690639068,30.729707908989717,31.085150922499995,-0.3554430135102784
146,146,733.9346733668341,1.2277965405660183,0.869694893194394,0.3581016473716243,5.979877215647361,5.927824845069444,0.05205237057791745,10.955443107520924,10.947402919930555,0.008040187590369285,15.974972033628243,15.969829515624996,0.005142518003246721,20.986533667878607,20.994382782222218,-0.007849114343610353,25.9681269976075,26.010365617430555,-0.04223861982305621,30.713456520859488,31.07106776923611,-0.35761124837662095
147,147,738.9547738693467,1.222081359977638,0.8643050921527293,0.35777626782490857,5.973245593867962,5.924567735763889,0.04867785810407366,10.947706868856063,10.943412794930554,0.004294073925509068,15.964861244001618,15.961425119791663,0.0034361242099549827,20.97369618980736,20.983167062430553,-0.009470872623193571,25.957907988307173,26.001161595902772,-0.04325360759559871,30.70331952453481,31.05898713659722,-0.3556676120624118
148,148,743.9748743718592,1.2313841260297673,0.8738927316666205,0.3574913943631468,5.981244069001621,5.9338299634027765,0.04741410559884418,10.95734389663384,10.951605299999999,0.005738596633841908,15.970661194279396,15.96944172597222,0.00121946830717512,20.980021492868143,20.987016611319444,-0.006995118451300186,25.961064446715184,26.005120721875,-0.04405627515981436,30.707982640651153,31.065261990902773,-0.35727935025161983
149,149,748.9949748743718,1.228506018781388,0.8735567938194,0.3549492249619881,5.97825738343037,5.92980538736111,0.048451996069259984,10.95576003254185,10.946416433958332,0.009343598583518187,15.96548586280537,15.963518587916663,0.001967274888706072,20.974215046698053,20.979297725277775,-0.005082678579722,25.952056610097035,25.998958205208325,-0.046901595111290106,30.698883732109486,31.058240260833333,-0.35935652872384694
150,150,754.0150753768844,1.224275067323055,0.8692901943749539,0.354984872948101,5.972160253643935,5.926535116874998,0.04562513676893687,10.95296616615296,10.946462090902777,0.006504075250182595,15.967116218387083,15.965200841111109,0.0019153772759743504,20.977779463583513,20.981616338680553,-0.0038368750970398935,25.952899560043285,26.004167035416664,-0.05126747537337906,30.707131975507032,31.063861224861107,-0.3567292493540748
151,151,759.0351758793969,1.2254450453681476,0.8678133251388416,0.357631720229306,5.972630636475462,5.925566117152777,0.04706451932268507,10.95630258379185,10.948915677083331,0.0073869067085183815,15.971619425668287,15.967178006111109,0.00444141955717825,20.983166575239718,20.98629188722222,-0.003125311982500989,25.952851547810596,26.006318641805553,-0.05346709399495708,30.708055351692817,31.068034224236108,-0.35997887254329086
152,152,764.0552763819095,1.21502513460949,0.8577445699999519,0.35728056460953816,5.961239193494583,5.912987671319444,0.04825152217513917,10.9376938994706,10.93299851375,0.0046953857206002425,15.956686729963375,15.952270283749998,0.004416446213376446,20.968100878007036,20.971684538541663,-0.003583660534626887,25.94033041670472,25.99342266611111,-0.05309224940638657,30.697222069048696,31.05251183090277,-0.355289761854074
153,153,769.0753768844221,1.215564745998379,0.8592820972916245,0.3562826487067544,5.960574053847036,5.9125016570138875,0.0480723968331489,10.938546329048702,10.931096347916666,0.0074499811320354326,15.957418418366153,15.953615766388888,0.00380265197726537,20.97123119287338,20.973744366180554,-0.002513173307175265,25.942411686501618,25.994631052638884,-0.05221936613726541,30.69689945586995,31.048676226527775,-0.35177677065782476
154,154,774.0954773869346,1.2268014309289346,0.8706890864582862,0.3561123444706483,5.975571064472037,5.925143670902777,0.05042739356925985,10.9507118963456,10.944249735555552,0.006462160790048799,15.967629823499813,15.966137711458332,0.0014921120414808087,20.981529256286617,20.986814444652776,-0.005285188366158877,25.964824253366153,26.010181394236106,-0.04535714086995313,30.71028643982305,31.062350799097217,-0.35206435927416635
155,155,779.1155778894472,1.2287455100366198,0.8740636875693925,0.35468182246722735,5.979863915315833,5.926720838402777,0.053143076913055864,10.952634472654582,10.944249273819443,0.008385198835139107,15.965466886074488,15.965081220208333,0.0003856658661547385,20.984132982734486,20.988610531249996,-0.004477548515509966,25.967370176005044,26.015549672291662,-0.04817949628661822,30.720127040175505,31.068875064722217,-0.34874802454671183
156,156,784.1356783919598,1.2300765260730548,0.8739741061805055,0.3561024198925493,5.9792512305241665,5.925096252013888,0.05415497851027862,10.955842242178933,10.946960208124999,0.008882034053934618,15.96980381489917,15.967422157708333,0.0023816571908366058,20.986715400800506,20.99093016215277,-0.004214761352265839,25.969055306992956,26.018652627361107,-0.04959732036815012,30.722029303514066,31.07466075034722,-0.35263144683315417
157,157,789.1557788944723,1.235530850095601,0.8796217485416191,0.3559091015539819,5.984809305609305,5.932103161944443,0.052706143664861926,10.9598467142675,10.952618316319443,0.007228397948056298,15.974236792959951,15.971935376319443,0.0023014166405079806,20.991017855522728,20.994460656666668,-0.003442801143940244,25.96997171511796,26.02019175194444,-0.05022003682648091,30.72640170385083,31.08069551152778,-0.3542938076769495
158,158,794.1758793969849,1.2315058308109714,0.8771818831943983,0.35432394761657315,5.9840830579062025,5.930995951666666,0.05308710623953683,10.960239349961942,10.952687679166665,0.007551670795276522,15.974596510395738,15.973211346666666,0.0013851637290720475,20.988779165175508,20.99447312034722,-0.005693955171711451,25.96003835622907,26.016566528958332,-0.05652817272926214,30.7257710222536,31.07860550333333,-0.3528344810797286
159,159,799.1959798994974,1.232852556777962,0.8802438003471752,0.3526087564307868,5.988234097959953,5.934759821944443,0.05347427601551047,10.959429226553933,10.954540828124998,0.004888398428935403,15.97430064872907,15.973419714444443,0.0008809342846269885,20.98617868691685,20.990179931388884,-0.004001244472032539,25.957086465341987,26.009507206736107,-0.05242074139411912,30.719179654967174,31.07242885097222,-0.353249196005045
160,160,804.21608040201,1.2364017169063881,0.884337297986062,0.35206441892032614,5.997194589413056,5.94299145173611,0.05420313767694562,10.969503859604256,10.961947586458331,0.0075562731459246635,15.979397721020739,15.977929326805553,0.0014683942151858531,20.98597620155393,20.993466550069442,-0.007490348515510448,25.960099556293283,26.010605953263887,-0.05050639697060433,30.719210192125185,31.07255831986111,-0.3533481277359236
161,161,809.2361809045226,1.2353298339150456,0.8800635140971733,0.35526631981787227,5.995137933852268,5.93927982048611,0.05585811336615798,10.966528940303935,10.957618375069444,0.00891056523449052,15.97867069766648,15.975345373263886,0.003325324402593921,20.981511949123373,20.98985297159722,-0.008341022473846493,25.953899012815832,26.006179164375,-0.052280151559166654,30.71093974865819,31.065784278749998,-0.35484453009180683
